theta    22     25     30   
0.0 0.0 -63.84857889459795 -63.84857897541688 -63.848578980801854
0.06283185307179587 3.6 -64.58038462559502 -64.58038477077667 -64.58038478005012
0.12566370614359174 7.2 -65.76878152048972 -65.76878167735603 -65.76878168595515
0.18849555921538758 10.799999999999999 -67.37019102635618 -67.37019114645256 -67.37019115270101
0.25132741228718347 14.4 -69.32962309818808 -69.32962320041031 -69.32962320736273
0.3141592653589793 18.0 -71.58535907483575 -71.585359201434 -71.5853592101369
0.37699111843077515 21.599999999999998 -74.07350002285467 -74.07350017017302 -74.07350017812215
0.4398229715025711 25.200000000000003 -76.73184631396366 -76.7318464459206 -76.73184645249906
0.5026548245743669 28.8 -79.50281019824247 -79.50281030854424 -79.5028103159029
0.5654866776461628 32.4 -82.33528996914052 -82.33529008736603 -82.33529009581684
0.6283185307179586 36.0 -85.18560220340333 -85.18560234271963 -85.18560235038824
0.6911503837897545 39.6 -88.01766211168699 -88.01766224936635 -88.01766225615773
0.7539822368615503 43.199999999999996 -90.80263064682032 -90.80263076521786 -90.80263077277452
0.8168140899333463 46.800000000000004 -93.51823134324152 -93.5182314580798 -93.51823146634632
0.8796459430051422 50.400000000000006 -96.14790136192076 -96.14790149322786 -96.14790150075771
0.9424777960769379 54.0 -98.67989645459963 -98.67989659352429 -98.67989660047358
1.0053096491487339 57.6 -101.10642850189657 -101.1064286279105 -101.10642863556306
1.0681415022205298 61.2 -103.42288125065696 -103.42288136619426 -103.42288137432867
1.1309733552923256 64.8 -105.62712569105885 -105.62712581548328 -105.62712582294687
1.1938052083641213 68.4 -107.7189403131836 -107.71894044971157 -107.71894045676854
1.2566370614359172 72.0 -109.69953170135024 -109.69953183318842 -109.69953184088837
1.319468914507713 75.6 -111.57114574885938 -111.57114586818349 -111.5711458762321
1.382300767579509 79.2 -113.33675755986823 -113.33675767980178 -113.33675768722848
1.4451326206513049 82.8 -114.99982769643312 -114.99982782814797 -114.99982783527251
1.5079644737231006 86.39999999999999 -116.56411313792006 -116.56411327271424 -116.56411328044597
1.5707963267948966 90.0 -118.03352264589397 -118.03352277065102 -118.03352277864629
1.6336281798666925 93.60000000000001 -119.41200772622494 -119.41200784484963 -119.41200785224633
1.6964600329384885 97.2 -120.70348177743662 -120.70348190352743 -120.7034819106946
1.7592918860102844 100.80000000000001 -121.91176127617751 -121.91176141061825 -121.91176141837978
1.82212373908208 104.39999999999999 -123.0405240269107 -123.04052415705435 -123.0405241650151
1.8849555921538759 108.0 -124.09328054931174 -124.09328066986939 -124.09328067723622
1.9477874452256718 111.6 -125.07335549815423 -125.07335561950207 -125.07335562669648
2.0106192982974678 115.2 -125.9838766184124 -125.98387674951573 -125.9838767573074
2.0734511513692637 118.80000000000001 -126.82776925109326 -126.82776938497432 -126.82776939291585
2.1362830044410597 122.4 -127.60775488448996 -127.60775500953531 -127.60775501687111
2.199114857512855 125.99999999999999 -128.32635262994617 -128.32635274886292 -128.32635275606683
2.261946710584651 129.6 -128.9858827373592 -128.98588286313753 -128.9858828709634
2.324778563656447 133.2 -129.58847142093342 -129.5884715557099 -129.58847156365422
2.3876104167282426 136.8 -130.13605644192197 -130.13605657278373 -130.1360565800783
2.4504422698000385 140.4 -130.63039308311733 -130.63039320283266 -130.63039321001787
2.5132741228718345 144.0 -131.07306025933542 -131.07306037914833 -131.07306038702873
2.57610597594363 147.6 -131.4654665257979 -131.46546665797385 -131.46546666595788
2.638937829015426 151.2 -131.8088557697387 -131.8088559064327 -131.8088559136492
2.701769682087222 154.8 -132.1043124612397 -132.1043125854795 -132.1043125925946
2.764601535159018 158.4 -132.35276642818368 -132.35276654239965 -132.35276655040235
2.827433388230814 162.0 -132.55499711926424 -132.55499724464863 -132.5549972527567
2.8902652413026098 165.6 -132.71163726666285 -132.71163740923075 -132.71163741622587
2.9530970943744053 169.2 -132.82317586910153 -132.82317600392574 -132.82317601078086
3.015928947446201 172.79999999999998 -132.88996049980315 -132.88996060289372 -132.88996061152164
3.078760800517997 176.4 -132.91219899178697 -132.91219907648605 -132.9121990863405
3.141592653589793 180.0 -132.8899604998031 -132.88996060289367 -132.88996061152156
3.204424506661589 183.6 -132.8231758691015 -132.8231760039257 -132.82317601078086
3.267256359733385 187.20000000000002 -132.7116372666629 -132.7116374092308 -132.71163741622595
3.330088212805181 190.8 -132.55499711926421 -132.55499724464863 -132.5549972527567
3.392920065876977 194.4 -132.35276642818366 -132.3527665423996 -132.35276655040232
3.455751918948773 198.00000000000003 -132.10431246123963 -132.10431258547945 -132.10431259259457
3.518583772020569 201.60000000000002 -131.80885576973876 -131.80885590643274 -131.80885591364924
3.581415625092364 205.2 -131.4654665257979 -131.46546665797385 -131.46546666595788
3.64424747816416 208.79999999999998 -131.0730602593354 -131.0730603791483 -131.07306038702873
3.707079331235956 212.39999999999998 -130.63039308311727 -130.63039320283264 -130.63039321001781
3.7699111843077517 216.0 -130.13605644192197 -130.1360565727837 -130.13605658007828
3.8327430373795477 219.6 -129.58847142093344 -129.58847155570993 -129.58847156365425
3.8955748904513436 223.2 -128.98588273735925 -128.98588286313756 -128.98588287096345
3.958406743523139 226.8 -128.32635262994611 -128.3263527488629 -128.32635275606677
4.0212385965949355 230.4 -127.60775488448995 -127.6077550095353 -127.60775501687111
4.084070449666731 234.0 -126.82776925109329 -126.8277693849743 -126.82776939291585
4.1469023027385274 237.60000000000002 -125.98387661841242 -125.98387674951577 -125.98387675730744
4.209734155810323 241.20000000000002 -125.07335549815421 -125.07335561950201 -125.07335562669641
